gene	avg_logFC	p_val_adj	pct.1	pct.2
Atox1	0.6140392422676086	1.003760408878371e-20	0.8840000033378601	0.621999979019165
CG10947	0.6814528107643127	2.88257937484937e-12	0.2770000100135803	0.06700000166893005
CG11191	0.6627556085586548	5.329557321539262e-20	0.5270000100135803	0.2800000011920929
CG11317	0.617040753364563	6.564833399114178e-11	0.42899999022483826	0.2370000034570694
CG11319	0.8614134788513184	2.0295605281903346e-19	0.5270000100135803	0.2770000100135803
CG11537	0.6003783941268921	3.293154122475393e-23	0.45500001311302185	0.20600000023841858
CG12290	1.060337781906128	3.3016303553014605e-30	0.5090000033378601	0.10199999809265137
CG12541	0.9843740463256836	1.6408636547803525e-26	0.3930000066757202	0.07800000160932541
CG12594	0.772335946559906	8.729197276124978e-8	0.42899999022483826	0.1860000044107437
CG13506	0.5876836776733398	9.991085649779796e-13	0.5180000066757202	0.210999995470047
CG13737	1.2370439767837524	1.3080122651231568e-13	0.16099999845027924	0.01899999938905239
CG14509	1.2732744216918945	9.248009345158063e-41	0.9290000200271606	0.5419999957084656
CG1513	0.7641465663909912	1.9478048654114957e-43	0.7049999833106995	0.34700000286102295
CG15628	2.669545888900757	0	1	0.7919999957084656
CG15772	0.5975282192230225	1.71583612500826e-19	0.5450000166893005	0.29100000858306885
CG17378	0.5341474413871765	2.519997981324556e-19	0.4729999899864197	0.1940000057220459
CG2993	0.620037853717804	1.4290340845695053e-37	0.8040000200271606	0.578000009059906
CG31690	0.6048442721366882	3.5951175814372576e-21	0.5090000033378601	0.16599999368190765
CG32647	1.2131993770599365	0	0.7950000166893005	0.2879999876022339
CG33543	0.51665860414505	0.0015485495096072555	0.4909999966621399	0.2800000011920929
CG34354	0.6325234770774841	2.7924508191889963e-11	0.6959999799728394	0.3160000145435333
CG3556	0.5130348205566406	8.771417620012656e-12	0.7680000066757202	0.4490000009536743
CG3961	0.7093201875686646	2.565912286409507e-24	0.6159999966621399	0.4099999964237213
CG42260	0.5846084952354431	1.255008098903999e-29	0.9200000166893005	0.6510000228881836
CG42342	0.9145848751068115	1.8550090691998508e-21	0.7770000100135803	0.47699999809265137
CG42540	0.785712480545044	3.7016174084208867e-20	0.5889999866485596	0.43700000643730164
CG42541	0.984995424747467	1.2006441887912471e-16	0.7770000100135803	0.4230000078678131
CG42673	0.5528192520141602	1.6218177110527768e-14	0.4020000100135803	0.11999999731779099
CG42700	0.5406045317649841	6.834006872839912e-16	0.31200000643730164	0.07199999690055847
CG43729	1.2250335216522217	3.727502119771186e-38	0.8479999899864197	0.5929999947547913
CG44153	0.5874025821685791	4.706552801572034e-14	0.42899999022483826	0.11299999803304672
CG44422	1.0541025400161743	1.0946598360959018e-29	0.7049999833106995	0.35100001096725464
CG5149	0.6345278024673462	5.341080710067395e-35	0.5540000200271606	0.2709999978542328
CG8245	0.5554618835449219	1.7825207118059e-19	0.8840000033378601	0.6489999890327454
CG8861	0.7366630434989929	0.0000426490769314114	0.7229999899864197	0.4169999957084656
CG9330	0.5452120900154114	5.1668494176910996e-26	0.5090000033378601	0.1860000044107437
CG9705	0.6186550855636597	9.603927896006947e-14	0.4909999966621399	0.16899999976158142
Cadps	0.9374055862426758	0	0.9380000233650208	0.6520000100135803
CalpA	0.5164309144020081	5.786218382059074e-17	0.5360000133514404	0.22100000083446503
Cam	0.9040365219116211	0	1	0.9929999709129333
Camta	0.6489334106445312	1.783342828336025e-14	0.5	0.19200000166893005
CanA-14F	0.8163533210754395	1.8346984272174587e-25	0.875	0.5249999761581421
CanB2	0.7907242774963379	1.4058523480222413e-37	0.8119999766349792	0.4320000112056732
DIP-beta	0.7071911692619324	0.000008987344699562527	0.41100001335144043	0.09600000083446503
DIP-delta	0.9874122738838196	6.118654991054746e-21	0.8389999866485596	0.32899999618530273
DIP-theta	1.458206057548523	1.947727946135529e-24	0.6790000200271606	0.12800000607967377
Fkbp14	1.1703072786331177	0.00005249256719253026	0.5889999866485596	0.02500000037252903
Gfrl	0.5612037777900696	2.7946669284295567e-11	0.6880000233650208	0.3409999907016754
GluClalpha	1.0360852479934692	0	0.8040000200271606	0.5180000066757202
GluRIB	0.6971606612205505	1.3124237850307224e-18	0.8569999933242798	0.46399998664855957
Glut1	0.6806803941726685	3.359439579986218e-23	0.6880000233650208	0.3319999873638153
Hk	0.8476036787033081	0	0.9819999933242798	0.8809999823570251
Lmpt	0.7277951836585999	0.0000729347302694805	0.46399998664855957	0.12700000405311584
MYPT-75D	0.8862350583076477	6.990921068069075e-30	0.6430000066757202	0.3230000138282776
Mmp2	0.910209059715271	7.171169619107448e-21	0.7229999899864197	0.22200000286102295
Msp300	0.7855090498924255	1.5906528990043467e-37	0.9819999933242798	0.7570000290870667
Nrg	0.5877853631973267	3.209021487304131e-29	0.6790000200271606	0.4399999976158142
Pka-R1	0.5395586490631104	6.363573556988911e-11	0.6959999799728394	0.3840000033378601
RpL27	0.5554760694503784	1.2880172251236063e-32	0.9200000166893005	0.8109999895095825
RpL30	0.5258371829986572	4.0158322700146783e-25	0.8930000066757202	0.734000027179718
RpS13	0.5468727350234985	2.2204492076298274e-30	0.9819999933242798	0.902999997138977
SK	0.9064469933509827	0	0.8659999966621399	0.5989999771118164
SPR	0.6934645771980286	0.0000017657067701293272	0.6959999799728394	0.21699999272823334
SPoCk	0.5076294541358948	1.116262526856815e-9	0.7049999833106995	0.41100001335144043
SREBP	0.5442962050437927	5.013354418993219e-17	0.3659999966621399	0.11900000274181366
SoxN	1.7770202159881592	2.468312837493753e-24	0.8930000066757202	0.0729999989271164
Syp	0.7616822123527527	0	1	0.9079999923706055
Ten-a	0.5793634653091431	3.5036420217360347e-32	0.9909999966621399	0.9179999828338623
aPKC	0.6466748714447021	1.0598313490742584e-31	0.6520000100135803	0.3199999928474426
ab	0.9997684359550476	5.624812035799816e-42	0.5180000066757202	0.3970000147819519
alphaTub84B	0.6344608664512634	1.3326577020776453e-26	0.9819999933242798	0.8679999709129333
beat-Va	0.8707959055900574	1.1579628643221711e-22	0.7049999833106995	0.1860000044107437
beat-Vb	0.5904053449630737	1.8538452717375975e-10	0.5619999766349792	0.17800000309944153
beat-Vc	0.6364461183547974	1.0765842661797365e-9	0.42899999022483826	0.10300000011920929
betaTub56D	0.6365506649017334	1.2269051745646507e-19	0.8659999966621399	0.7009999752044678
br	0.6698101758956909	0.00017402182857040316	0.5360000133514404	0.1599999964237213
dac	0.698367178440094	1.3010760246956465e-9	0.33000001311302185	0.02500000037252903
drl	0.5922695994377136	5.980873890761018e-13	0.3569999933242798	0.09799999743700027
eIF3l	0.570843517780304	2.2215258839091643e-18	0.6159999966621399	0.3440000116825104
eIF3m	0.5002692341804504	7.09993747360636e-24	0.8840000033378601	0.6959999799728394
egh	0.5676853060722351	6.078821350154182e-28	0.8930000066757202	0.5740000009536743
futsch	0.6347123384475708	1.2036239518407498e-24	0.9909999966621399	0.9549999833106995
grn	0.699093222618103	0.0009953415719792247	0.7229999899864197	0.164000004529953
haf	0.557554304599762	0.0009852414950728416	0.28600001335144043	0.12200000137090683
igl	0.5172603130340576	2.606315376851853e-7	0.8479999899864197	0.6769999861717224
klu	0.9441509246826172	4.9869539053837286e-11	0.5090000033378601	0.04800000041723251
kn	0.8675566911697388	0.04333671182394028	0.5090000033378601	0.06400000303983688
mam	0.5135525465011597	1.2618061040470252e-9	0.4819999933242798	0.20999999344348907
mbl	0.7902346253395081	1.2350193756560657e-8	1	0.8029999732971191
nAChRalpha1	0.5599398016929626	1.6662696613115036e-14	0.7950000166893005	0.38499999046325684
nAChRalpha7	0.8684367537498474	7.935756852271493e-34	0.9549999833106995	0.6909999847412109
nrm	0.6337737441062927	6.89351239089596e-21	0.44600000977516174	0.19499999284744263
para	0.637112557888031	1.534928491082683e-32	0.9909999966621399	0.9010000228881836
ppk31	0.6671889424324036	0	0.29499998688697815	0
pum	0.5615900158882141	0	1	0.9879999756813049
qm	0.608137309551239	6.029604428145287e-36	0.32100000977516174	0.06700000166893005
rg	0.5576187372207642	6.719855456193186e-30	0.9819999933242798	0.7829999923706055
sano	0.6014030575752258	5.922271700820048e-11	0.3569999933242798	0.09099999815225601
sda	0.9202629327774048	9.115775593606375e-35	0.5979999899864197	0.18000000715255737
sff	0.6090565323829651	2.8946642699016216e-19	0.5619999766349792	0.23399999737739563
shakB	1.3096104860305786	0	0.9639999866485596	0.7760000228881836
slo	0.5084840655326843	2.5243903338182145e-26	0.9819999933242798	0.8069999814033508
slou	0.8187419176101685	0.000683186633978039	0.33899998664855957	0.019999999552965164
stai	0.6694124937057495	9.419549061338004e-28	1	0.9049999713897705
tipE	0.6912712454795837	2.6749375130572262e-21	0.6700000166893005	0.32199999690055847
trv	0.6213523149490356	2.418947746100908e-13	0.9639999866485596	0.7129999995231628
tun	0.7329586744308472	7.373236362067916e-26	0.7139999866485596	0.24500000476837158
tutl	0.5017049312591553	1.7317181220162488e-18	0.8930000066757202	0.6499999761581421
