gene	avg_logFC	p_val_adj	pct.1	pct.2
CG10804	0.5113766193389893	2.3112358704226654e-34	0.9110000133514404	0.5879999995231628
CG14989	0.7281044721603394	5.7849074662243e-18	1	0.8190000057220459
CG15765	0.6621814370155334	1.551266634872813e-28	0.8259999752044678	0.42899999022483826
CG16833	0.5784101486206055	0	0.6060000061988831	0.20499999821186066
CG32225	0.642692506313324	0	0.6779999732971191	0.2879999876022339
CG32698	0.5934933423995972	4.066967154003949e-17	0.3089999854564667	0.1379999965429306
CG7272	0.5612392425537109	1.7912892622544326e-32	0.5680000185966492	0.17599999904632568
CG9328	0.5743955373764038	0	0.9279999732971191	0.7300000190734863
DIP-alpha	1.127299427986145	2.804442674787472e-22	0.4790000021457672	0.0560000017285347
Dbx	0.8273008465766907	3.931479030131954e-14	0.39800000190734863	0.019999999552965164
Eip63F-1	1.0387187004089355	7.760573064231199e-39	0.8769999742507935	0.3790000081062317
Fer2	1.0645153522491455	1.4145239288090615e-18	0.6100000143051147	0.03099999949336052
Gad1	1.167584776878357	1.80698258938249e-33	0.9919999837875366	0.5389999747276306
Ip259	0.8598318696022034	0	0.953000009059906	0.6460000276565552
Nckx30C	0.6191404461860657	0	0.9449999928474426	0.7279999852180481
RpL12	0.5228666663169861	0	0.9959999918937683	0.8949999809265137
RpL5	0.7524840235710144	0	0.9919999837875366	0.9330000281333923
Scp2	1.415367603302002	2.0699091258637167e-36	0.8259999752044678	0.5230000019073486
SoxN	0.548573911190033	1.6372213806903346e-8	0.36899998784065247	0.07400000095367432
Tina-1	0.612801730632782	0	0.847000002861023	0.4569999873638153
VGAT	0.5966120362281799	0	0.7200000286102295	0.2720000147819519
cpx	0.618201494216919	0	1	0.9660000205039978
dmrt99B	0.7480564117431641	0	0.35199999809265137	0.004999999888241291
nAChRalpha7	0.7803112268447876	0	0.953000009059906	0.6899999976158142
side	0.5803371071815491	4.638438046761577e-41	0.9070000052452087	0.5130000114440918
trn	0.5363378524780273	1.9454827082654447e-8	0.4749999940395355	0.17100000381469727
