gene	avg_logFC	p_val_adj	pct.1	pct.2
5-HT2A	0.5521256923675537	0.00015439302660524845	0.2750000059604645	0.08399999886751175
Atox1	0.6334509253501892	7.179248081440326e-12	0.7789999842643738	0.621999979019165
Bx	0.6938620805740356	0.00045034679351374507	0.6110000014305115	0.28999999165534973
CG10804	0.6062834858894348	0.000364576349966228	0.8659999966621399	0.5899999737739563
CG11317	0.7923610210418701	0.0000013306886330610723	0.5910000205039978	0.23600000143051147
CG1402	1.7876399755477905	5.461132272040117e-15	0.6909999847412109	0.12099999934434891
CG14372	0.5200640559196472	3.9508637428298243e-7	0.2680000066757202	0.08900000154972076
CG14989	0.9289955496788025	0.000026563420760794543	1	0.8190000057220459
CG1504	0.5882216691970825	1.7394248175151006e-7	0.2619999945163727	0.06499999761581421
CG15628	0.5005596876144409	0.00010120752267539501	0.8790000081062317	0.7919999957084656
CG1607	0.5457385778427124	0.000002092092699967907	0.49000000953674316	0.289000004529953
CG16833	0.6393489837646484	1.2210187288336227e-13	0.4970000088214874	0.2070000022649765
CG31997	0.8338723182678223	0.0008514667861163616	0.6110000014305115	0.27300000190734863
CG34383	0.5174131989479065	0.00012615926971193403	0.46299999952316284	0.2630000114440918
CG42313	0.5901929140090942	0.000004577770596370101	0.6169999837875366	0.38199999928474426
CG42750	0.5882828235626221	2.6850162981872927e-8	0.8259999752044678	0.5899999737739563
CG43902	0.8830799460411072	0.000001863033503468614	0.49000000953674316	0.1899999976158142
CG44837	0.5770558714866638	2.2709339964066544e-10	0.28200000524520874	0.12600000202655792
CG9328	0.5429297685623169	1.4131655047544545e-11	0.9129999876022339	0.7310000061988831
CG9674	0.5676273703575134	9.455497007593294e-8	0.7049999833106995	0.4189999997615814
CG9813	0.6637557744979858	8.343850610437187e-11	0.7720000147819519	0.4959999918937683
CR44978	0.6811715364456177	0.00000900836857908871	0.3089999854564667	0.09700000286102295
DIP-delta	0.6007542014122009	0.0009520153398625553	0.7049999833106995	0.32899999618530273
Dscam2	0.5824723243713379	1.2392087783165678e-14	0.9459999799728394	0.7300000190734863
Eip63F-1	1.0452542304992676	1.17774956454042e-10	0.7850000262260437	0.38100001215934753
EndoB	0.5324897170066833	7.013558483981441e-11	0.6169999837875366	0.4099999964237213
Fer2	1.418836236000061	7.181226635566418e-8	0.6510000228881836	0.032999999821186066
Gad1	1.1090734004974365	2.314054903251872e-8	0.9729999899864197	0.5410000085830688
Lmpt	0.5989440083503723	0.030016979202628136	0.2549999952316284	0.12800000607967377
Oct-TyrR	0.821570634841919	1.609363522447893e-7	0.289000004529953	0.09099999815225601
PVRAP	1.2006491422653198	2.2414046883900387e-18	0.6309999823570251	0.21799999475479126
Rgk1	1.0476436614990234	5.809711582729542e-26	0.7519999742507935	0.3109999895095825
ST6Gal	1.2606390714645386	8.160843688424441e-23	0.46299999952316284	0.06499999761581421
Scp2	1.1258119344711304	1.0575977593685337e-11	0.4699999988079071	0.5260000228881836
SoxN	0.909058153629303	0.00020938989473506808	0.4359999895095825	0.07500000298023224
Teh2	0.5872669219970703	9.189002270204583e-8	0.7319999933242798	0.4569999873638153
Uhg1	0.5028678178787231	4.927114716224423e-9	0.5099999904632568	0.28600001335144043
VGAT	0.6773461699485779	1.1928413812256622e-8	0.5910000205039978	0.27399998903274536
beat-Ic	0.8550224304199219	6.565279591086437e-7	0.7379999756813049	0.40799999237060547
dmrt99B	0.815838634967804	1.2144663530042066e-13	0.32199999690055847	0.006000000052154064
fz2	0.5090091824531555	0.0000043561944949033204	0.6380000114440918	0.4050000011920929
mAChR-B	0.5885715484619141	2.4850186353120307e-9	0.2280000001192093	0.04500000178813934
ths	0.6396395564079285	9.952686461436877e-13	0.40299999713897705	0.17299999296665192
