gene	avg_logFC	p_val_adj	pct.1	pct.2
CG13229	0.6949831247329712	3.1332967864727834e-7	0.21299999952316284	0.05000000074505806
CG13287	0.8525120615959167	3.772733750344102e-26	0.2619999945163727	0.014999999664723873
CG17278	0.710459291934967	0.04560545086860657	0.15199999511241913	0.014999999664723873
CG2016	1.2352739572525024	0.00033314526081085205	0.14499999582767487	0.010999999940395355
CG2082	0.5558784008026123	0.008632447570562363	0.3580000102519989	0.23399999737739563
CG5107	0.7939963936805725	6.819347739489903e-14	0.2160000056028366	0.007000000216066837
ChAT	0.6614918112754822	1.223876200384666e-8	0.4259999990463257	0.19099999964237213
Ets65A	1.2672752141952515	1.3983727440997773e-29	0.5210000276565552	0.07500000298023224
Nlg4	0.5264734625816345	0.00005511418203241192	0.39399999380111694	0.23600000143051147
Octbeta1R	0.5851585268974304	0.00016793374379631132	0.23000000417232513	0.08799999952316284
Or63a	0.5407513380050659	0.000018168932001572102	0.18799999356269836	0.05900000035762787
SoxN	1.1335211992263794	9.673208372477124e-16	0.4399999976158142	0.0729999989271164
VAChT	0.6419892907142639	0.000819309672806412	0.6169999837875366	0.31700000166893005
bi	1.7161848545074463	1.812808236856256e-11	0.8479999899864197	0.09000000357627869
dpr6	0.66470867395401	4.9082178321668835e-9	0.5960000157356262	0.40700000524520874
luna	0.7753908634185791	4.711531720325013e-10	0.7590000033378601	0.47999998927116394
mspo	0.6321186423301697	0.0005958956899121404	0.734000027179718	0.46399998664855957
sv	1.4622358083724976	3.2112774421869354e-36	0.5569999814033508	0.029999999329447746
